127.0.0.1, 2011-10-30 01:24:17, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 304, 0.000827
127.0.0.1, 2011-10-30 01:24:17, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.002018
127.0.0.1, 2011-10-30 01:24:17, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 304, 0.001184
127.0.0.1, 2011-10-30 01:24:17, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 304, 0.001320
127.0.0.1, 2011-10-30 01:24:17, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000988
127.0.0.1, 2011-10-30 01:24:17, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 304, 0.000540
127.0.0.1, 2011-10-30 01:24:17, GET, /w2cms/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000572
127.0.0.1, 2011-10-30 01:24:17, GET, /w2cms/static/images/shadow.png, HTTP/1.1, 304, 0.000309
127.0.0.1, 2011-10-30 01:24:20, GET, /w2cms/default/index, HTTP/1.1, 200, 0.033701
127.0.0.1, 2011-10-30 01:24:20, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 304, 0.000790
127.0.0.1, 2011-10-30 01:24:20, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.000457
127.0.0.1, 2011-10-30 01:24:20, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 304, 0.001543
127.0.0.1, 2011-10-30 01:24:20, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 304, 0.000453
127.0.0.1, 2011-10-30 01:24:20, GET, /w2cms/static/css/base.css, HTTP/1.1, 304, 0.000980
127.0.0.1, 2011-10-30 01:24:20, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 304, 0.002885
127.0.0.1, 2011-10-30 01:24:20, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 304, 0.002710
127.0.0.1, 2011-10-30 01:24:20, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000434
127.0.0.1, 2011-10-30 01:24:20, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 304, 0.003109
127.0.0.1, 2011-10-30 01:24:21, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 304, 0.000433
127.0.0.1, 2011-10-30 01:24:21, GET, /w2cms/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000410
127.0.0.1, 2011-10-30 01:24:21, GET, /w2cms/static/images/shadow.png, HTTP/1.1, 304, 0.000240
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/default/index, HTTP/1.1, 200, 0.029092
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 304, 0.000576
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 304, 0.000942
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 304, 0.000709
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 304, 0.003454
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/static/css/base.css, HTTP/1.1, 304, 0.000947
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 304, 0.001731
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.001290
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 304, 0.000882
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000732
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 304, 0.000410
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000363
127.0.0.1, 2011-10-30 02:29:22, GET, /w2cms/static/images/shadow.png, HTTP/1.1, 304, 0.000438
127.0.0.1, 2011-10-30 02:29:45, GET, /w2cms/default/index, HTTP/1.1, 200, 0.023076
127.0.0.1, 2011-10-30 02:29:46, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 304, 0.001677
127.0.0.1, 2011-10-30 02:29:46, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.001395
127.0.0.1, 2011-10-30 02:29:46, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 304, 0.000354
127.0.0.1, 2011-10-30 02:29:46, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 304, 0.002458
127.0.0.1, 2011-10-30 02:29:46, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 304, 0.001334
127.0.0.1, 2011-10-30 02:29:46, GET, /w2cms/static/css/base.css, HTTP/1.1, 304, 0.000323
127.0.0.1, 2011-10-30 02:29:46, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 304, 0.000554
127.0.0.1, 2011-10-30 02:29:46, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 304, 0.001332
127.0.0.1, 2011-10-30 02:29:46, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000379
127.0.0.1, 2011-10-30 02:29:46, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 304, 0.000393
127.0.0.1, 2011-10-30 02:29:46, GET, /w2cms/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000398
127.0.0.1, 2011-10-30 02:29:46, GET, /w2cms/static/images/shadow.png, HTTP/1.1, 304, 0.000368
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/default/index, HTTP/1.1, 200, 0.022167
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 304, 0.001044
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.001444
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 304, 0.000532
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 304, 0.000888
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 304, 0.000865
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/static/css/base.css, HTTP/1.1, 304, 0.001565
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 304, 0.001918
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 304, 0.003216
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000626
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 304, 0.000442
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000525
127.0.0.1, 2011-10-30 02:30:04, GET, /w2cms/static/images/shadow.png, HTTP/1.1, 304, 0.000243
127.0.0.1, 2011-10-30 02:30:14, GET, /w2cms/default/index, HTTP/1.1, 200, 0.027915
127.0.0.1, 2011-10-30 02:30:15, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.001031
127.0.0.1, 2011-10-30 02:30:15, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 304, 0.000711
127.0.0.1, 2011-10-30 02:30:15, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 304, 0.001716
127.0.0.1, 2011-10-30 02:30:15, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 304, 0.001054
127.0.0.1, 2011-10-30 02:30:15, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 304, 0.000972
127.0.0.1, 2011-10-30 02:30:15, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 304, 0.000768
127.0.0.1, 2011-10-30 02:30:15, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.001013
127.0.0.1, 2011-10-30 02:30:15, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 304, 0.001137
127.0.0.1, 2011-10-30 02:30:15, GET, /w2cms/static/css/base.css, HTTP/1.1, 304, 0.002326
127.0.0.1, 2011-10-30 02:30:15, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 304, 0.000427
127.0.0.1, 2011-10-30 02:30:15, GET, /w2cms/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000341
127.0.0.1, 2011-10-30 02:30:15, GET, /w2cms/static/images/shadow.png, HTTP/1.1, 304, 0.000347
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/default/index, HTTP/1.1, 200, 0.025910
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 304, 0.001147
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.000652
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 304, 0.000400
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/static/css/base.css, HTTP/1.1, 304, 0.002243
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 304, 0.000664
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 304, 0.001518
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 304, 0.001147
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 304, 0.001072
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000758
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 304, 0.000411
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000368
127.0.0.1, 2011-10-30 02:30:21, GET, /w2cms/static/images/shadow.png, HTTP/1.1, 304, 0.000356
127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/default/index, HTTP/1.1, 200, 0.018747
127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 304, 0.000593
127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.000746
127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 304, 0.000397
